Expedition,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries
136,Hawaiian Arch - Ocean Seismograph Network,28-Feb-91,Honolulu,USA,20-Mar-91,Honolulu,USA,20.05,2.48,1.23,16.34,,10.87,1.95,,,,0,3.52,2,6,20,257,10.1,975.1,845.7,129.4,63.5,49.1,4441,,,
137,Hole 504B - Costa Rica Rift,20-Mar-91,Honolulu,USA,1-May-91,Balboa,Panama,41.7,0.3,19.9,21.5,,8.17,3.36,,,,0,9.97,1,1,8,5072,10.6,1621.5,1561.3,60.2,13.5,1,3474,,,
138,Eastern Equatorial Pacific,1-May-91,Balboa,Panama,4-Jul-91,San Diego,USA,64.4,4.1,22.1,38.2,,30.7,6.3,,,,0,1.1,11,42,599,5421,10.4,5610.2,67.6,5542.6,5535.8,99.9,3861,,,
139,Middle Valley - Juan de Fuca Ridge,4-Jul-91,San Diego,USA,11-Sep-91,Victoria,Canada,68.7,6.1,5.6,57,,34.03,13.83,,,,0.04,9.06,4,23,331,1453,10.1,3725,1068.6,2656.4,933.4,35.1,2457,,,
140,Hole 504B - Costa Rica Rift,11-Sep-91,Victoria,Canada,12-Nov-91,Balboa,Panama,62.1,4.6,17.1,40.4,,26.8,3.7,,,,0,9.9,1,1,57,4592,10.9,2000.4,1621.8,378.6,53.3,1.7,3474,,,
141,Chile Triple Junction,12-Nov-91,Balboa,Panama,12-Jan-92,Valparaiso,Chile,61.3,3.5,20,37.8,,28.7,7.4,,,,0,1.6,5,13,284,5212.5,11.1,3325.6,809.7,2515.9,1018.9,40.5,2760,,,
142,Engineering Tests: East Pacific Rise,12-Jan-92,Valparaiso,Chile,18-Mar-92,Honolulu,USA,66,6.1,23.4,36.5,,0,0,,,,0,36.5,1,3,5,6361,11.4,24.8,9.3,15.5,9.5,61.3,2583,,,
143,Northwest Pacific Atolls and Guyots I,18-Mar-92,Honolulu,USA,20-May-92,Majuro Atoll,Marshall Islands,61,4.21,13.06,43.73,,35.03,6.28,,,,0,2.43,6,12,441,3371,10.5,4135,140,3995,1065.2,26.7,4838,,,
144,Northwest Pacific Atolls and Guyots II,20-May-92,Majuro Atoll,Marshall Islands,20-Jul-92,Yokohama,Japan,61.8,4,12.2,45.6,,34.61,7.23,,,,0,3.76,11,21,358,3145,10.6,3486,284.7,3201.3,1088.2,27.3,1537,,,
145,The North Pacific Transect,20-Jul-92,Yokohama,Japan,20-Sep-92,Victoria,Canada,62.3,4.1,17.3,40.9,,34.8,5.2,,,,0,0.9,7,25,540,4823,11.4,7730.3,2709.7,5020.6,4321.4,86.1,5726,,,
146,The Cascadia Margin,20-Sep-92,Victoria,Canada,22-Nov-92,San Diego,USA,62.88,4.94,6.12,51.82,,28.13,11.44,,,,0.29,11.96,7,20,272,1453,10.7,4492.4,2229.5,2262.9,1196.9,52.9,2675,,,
147,The Hess Deep Rift Valley,22-Nov-92,San Diego,USA,21-Jan-93,Balboa,Panama,59.5,3,12.8,43.7,,24.8,1.5,,,,0,17.4,2,13,57,3487,11,545.3,27,518.3,120.7,23.3,3832,,,
148,Hole 504B - Costa Rica Rift,21-Jan-93,Balboa,Panama,10-Mar-93,Balboa,Panama,48.07,4.6,4.34,39.13,,18.46,7.8,,,,0,12.85,2,2,45,529,9.8,2103.5,1726.5,377,83.7,1.3,3474,,,
149,Iberian Abyssal Plain,10-Mar-93,Balboa,Panama,25-May-93,Lisbon,Portugal,75.8,4.6,20,51.2,,40.6,5,,,,0,5.7,5,10,288,4834,10.5,3897,1211.4,2685.6,1532.1,57,5389,,,
150,The New Jersey Sealevel,25-May-93,Lisbon,Portugal,24-Jul-93,St. Johns,Canada,60.7,3,19.2,38.5,,24.11,9.54,,,,0,5.82,5,11,515,4291,9.2,6044.8,1442.9,4601.9,4031.5,87.6,2709,,,
151,North Atlantic Arctic Gateways I,24-Jul-93,St. Johns,Canada,24-Sep-93,Reykjavik,Iceland,61.1,4.7,18,38.4,,31.6,6.2,,,,0.3,0.4,7,18,475,4307,10.4,4673.8,457.5,4216.3,3004.5,71.3,3330,,,
152,East Greenland Margin,24-Sep-93,Reykjavik,Iceland,22-Nov-93,St. Johns,Canada,59.2,4.2,9.1,45.9,,38.3,1,,,,3.2,3.4,6,13,346,1644,7.6,3678.2,772.3,2905.9,1255.1,43.2,2097.3,,,
153,Mid-Atlantic Ridge/Kane Fracture Zone,22-Nov-93,St. Johns,Canada,24-Jan-94,Bridgetown,Barbados,63,5.3,9.9,47.8,,37.2,,,,,0,10.6,5,15,100,2543,10.8,814.3,86.3,728,254.7,35,3343,,,
154,Ceara Rise,24-Jan-94,Bridgetown,Barbados,25-Mar-94,Bridgetown,Barbados,59.94,4.5,12,43.44,,34.68,6.95,,,,0,1.81,5,19,653,2988,10.6,6924,762.9,6161.1,5808.2,94.3,4369,,,
155,Amazon Deep-Sea Fan,25-Mar-94,Bridgetown,Barbados,24-May-94,Bridgetown,Barbados,60.03,3.23,8.9,47.9,,36.41,8.2,,,,0,3.29,17,36,558,2265,9.5,5232.9,116.4,5116.5,4052.8,79.2,4148,,,
156,Barbados Ridge Accretionary Prism,24-May-94,Bridgetown,Barbados,24-Jul-94,Bridgetown,Barbados,61.18,3.9,2.7,54.58,,27.54,12.22,,,,0,14.82,3,8,54,652,10.6,3232.4,2763.8,468.6,267.1,57,5013,,,
157,VICAP (Volcanic Island Clastic Apron Project) & MAP (Madeira Abyssal Plain),24-Jul-94,Bridgetown,Barbados,23-Sep-94,Las Palmas,Canary Islands,60.61,3.33,12.22,45.06,,36.02,5.81,,,,0,3.23,7,12,438,3102,10.4,4958.7,867.4,4091.3,3089.5,75.5,5449,,,
158,TAG (Trans-Atlantic Geotraverse) Hydrothermal Mound,23-Sep-94,Las Palmas,Canary Islands,22-Nov-94,Las Palmas,Canary Islands,60.4,6.1,11.67,42.63,,24.35,0.23,,,,0,18.05,1,17,88,3228,10.9,635.3,104.4,530.9,55.3,10.4,3657,,,
159,Cote d'Ivoire-Ghana Transform Margin,3-Jan-95,Dakar,Senegal,2-Mar-95,Marseille,France,57.96,1.31,12.73,43.92,,36.91,3.98,,,,0,3.02,4,13,366,3521.5,11.9,4239.3,919.2,3320.1,2018.4,60.8,4645,,,
160,Mediterranean Sea I,7-Mar-95,Marseille,France,3-May-95,Napoli,Italy,56.32,4.66,11.28,40.38,,34.93,5.2,,,,0,0.25,11,48,544,4048,11.6,5094.5,294,4800.5,3363.3,70.1,3931,,,
161,Mediterranean Sea II,3-May-95,Napoli,Italy,2-Jul-95,Leith,Scotland,61.35,3.5,13.8,44.05,,34.8,6.7,,,,0,2.6,6,16,505,3060,10.2,5333.9,742.6,4591.3,3874.5,84.4,3470,,,
162,North Atlantic Arctic Gateways II,7-Jul-95,Leith,Scotland,3-Sep-95,Reykjavik,Iceland,62.58,5.14,13.58,43.86,,36.77,3.67,,,,0,3.43,9,30,828,1750,11.2,8637.3,928.9,7708.4,6730.7,87.3,2879,,,
163,Southeast Greenland Margin,3-Sep-95,Reykjavik,Iceland,7-Oct-95,Halifax,Canada,33.91,7.1,10.13,16.68,,12.34,0,,,,3.25,1.09,3,4,46,2787,9.9,480.3,166,314.3,204.6,65.1,541.5,,,
164,Gas Hydrate Sampling Blake Ridge & Carolina Rise,31-Oct-95,Halifax,Canada,19-Dec-95,Miami,USA,72.13,24.27,6.85,41.01,,26.77,14.24,,,,0,0.74,7,17,344,1645,10.8,3900.2,1115.1,2785.1,1981.8,71.2,2799.1,,,
165,Caribbean Ocean History and the Cretaceous/Tertiary Boundary Event,21-Dec-95,Miami,USA,17-Feb-96,San Juan,Puerto Rico,60.3,2.9,12.7,44.7,,36.6,4.5,,,,0,3.5,5,13,453,3084,,5951.7,1773.3,4178.4,3358.6,80.4,3260,,,
166,The Bahamas Transect,20-Feb-96,San Juan,Puerto Rico,10-Apr-96,Balboa,Panama,52.72,4.63,6.8,41.29,,32.32,6.83,,,,0,0.2,7,17,572,2045,11.9,7452.4,2197.5,5254.9,2938.7,55.9,658.4,,,
167,California Margin,20-Apr-96,Acapulco,Mexico,16-Jun-96,San Francisco,USA,58,1.6,12.85,43.55,,38.34,4.27,,,,0,0.94,13,52,840,3102,10.3,7711.4,1.9,7709.5,7501.6,97.3,4215,,,
168,Hydrothermal Circulation in the Oceanic Crust: Eastern Flank of the Juan de Fuca Ridge,16-Jun-96,San Francisco,USA,15-Aug-96,Victoria,Canada,60.46,4.04,4.96,51.46,,35.05,6.3,,,,0,10.11,10,19,230,,,3460.3,1408.7,2051.6,1551.7,75.6,2659,,,
169S,Saanich Inlet,15-Aug-96,Victoria,Canada,20-Aug-96,Victoria,Canada,5.84,3.47,0.45,1.92,,1.62,0,,,,0,0.28,2,9,72,87,,677.8,0,677.8,686.1,101.2,228.7,,,
169,Sedimented Ridges II,21-Aug-96,Victoria,Canada,16-Oct-96,San Diego,USA,52.28,1.22,5.76,45.3,,34.57,4.54,,,,0,4.26,7,25,363,3473,10,4380.9,814.4,3566.5,1205.1,33.8,3302,,,
170,Costa Rica Accretionary Wedge,16-Oct-96,San Diego,USA,17-Dec-96,Balboa,Panama,60.4,5.9,11.6,42.9,,38,2.4,,,,0,3.1,5,17,223,2991,,5456.2,3404.6,2051.6,1463.7,71.3,4353.5,,,
171A,Northern Barbados Accretionary Prism,17-Dec-96,Balboa,Panama,8-Jan-97,Bridgetown,Barbados,21.875,3.75,6.875,11.25,,10.81,0,,,,0,0.86,5,5,0,1533,9.7,2973,2973,0,0,0,5056,,,
171B,Blake Nose Paleoceanographic Transect,8-Jan-97,Bridgetown,Barbados,14-Feb-97,Charleston,USA,36.82,0.36,6.05,30.41,,26.24,3.71,,,,0,0.46,5,16,427,1533,9.7,4355.3,561.2,3794.1,3227.4,85.1,2682,,,
172,Northwest Atlantic Sediment Drifts,14-Feb-97,Charleston,USA,15-Apr-97,Lisbon,Portugal,57.21,4.49,15.9,36.82,,32.79,1.95,,,,0.75,2.48,11,42,623,4405,,5698.4,9.6,5688.8,5765.4,101.3,5568.3,,,
173,Return to Iberia,15-Apr-97,Lisbon,Portugal,15-Jun-97,Halifax,Canada,60.4,6.2,10.2,44,,38.8,2.5,,,,0,2.8,6,6,126,2465,,4181.9,2993.7,1188.2,452.5,38.1,5321.8,,,
174A,New Jersey Mid-Atlantic Sea-Level Transect,15-Jun-97,Halifax,Canada,19-Jul-97,New York,USA,34.37,5.74,2,26.63,,12.67,6.28,,,,0,7.69,,12,202,720,10.8,3240.4,1498.4,1742,1033.6,59.3,639.4,,,
174B,CORK Hole 395A,19-Jul-97,New York,USA,9-Aug-97,Las Palmas,Canary Islands,21.04,2.33,13.42,5.29,,1.44,1.66,,,,0,2.19,2,2,8,3496,11.2,69.5,0,69.5,66.3,95.4,4445.4,,,
175,Benguela Current,9-Aug-97,Las Palmas,Canary Islands,8-Oct-97,Cape Town,South Africa,59.75,3.61,20.26,35.88,,31.11,4,,,,0,0.52,13,40,894,5160,10.9,8283,72.5,8210.5,8003.4,97.5,2995.7,,,
176,Hole 735B,8-Oct-97,Cape Town,South Africa,9-Dec-97,Cape Town,South Africa,61.52,7.1,16.2,38.22,,26.2,2.5,,,,0.5,9.1,1,1,126,3999,10,1498.3,504.8,993.5,866,86.3,720.6,,,
177,SouthernOcean Paleoceanography,9-Dec-97,Cape Town,South Africa,5-Feb-98,Punta Arenas,Chile,58.5,5.1,20.3,33.1,,29.49,1.04,,,,1.19,1.39,7,31,549,4244,8.7,5359.4,370.5,4988.9,4046,81.1,4623.8,,,
178,Antarctic Peninsula,5-Feb-98,Punta Arenas,Chile,9-Apr-98,Cape Town,South Africa,62.28,6.46,22.27,33.55,,25.01,3.97,,,,2.59,1.98,9,23,334,,10.5,3298.4,374.7,2923.7,1806.9,61.8,3841.6,,,
179,Hammer Drilling and NERO,9-Apr-98,Cape Town,South Africa,7-Jun-98,Darwin,Australia,59.08,12.52,25.95,20.61,,14.07,0.46,,,,1.34,4.73,4,12,44,6439,10.4,670.8,527.8,143,118.4,82.8,1659,,,
180,Woodlark Basin,7-Jun-98,Darwin,Australia,11-Aug-98,Sydney,Australia,64.01,3.61,12.28,48.12,,39.54,4.72,,,,0,3.86,11,23,432,3105,10.6,4933.3,1021.1,3912.2,1966.4,50.3,3246.4,,,
181,SW Pacific Gateways,11-Aug-98,Sydney,Australia,8-Oct-98,Wellington,New Zealand,58.07,6.14,14.46,37.47,,28.51,3.99,,,,3.78,1.19,7,21,459,3310,9.5,4707,510.9,4196.1,3625.1,86.4,4492,,,
182,Great Australian Bight,8-Oct-98,Wellington,New Zealand,7-Dec-98,Fremantle,Australia,60.61,5.92,17.47,37.22,,29.23,6.81,,,,0,1.19,9,27,623,3703.5,9,7065.9,1312.3,5753.6,3579.8,62.2,3876,,,
183,Kerguelen,7-Dec-98,Fremantle,Australia,11-Feb-99,Fremantle,Australia,65.49,5.51,27.35,32.63,,27.47,1.75,,,,2.07,1.34,8,8,353,6278,9.8,3244.9,91,3153.9,1528.4,48.5,2394.1,,,
184,South China Sea,11-Feb-99,Fremantle,Australia,12-Apr-99,Hong Kong,Hong Kong,58.96,8.29,16.54,34.13,,29.46,4.08,,,,0,0.61,6,17,622,4068,10.5,6123.1,362.6,5760.5,5461.6,94.8,3297.1,,,
185,Izu-Mariana Margin,12-Apr-99,Hong Kong,Hong Kong,14-Jun-99,Yokohama,Japan,63.44,5.98,15.36,42.1,,33.62,3.89,,,,0.02,4.58,2,6,110,3831,10.8,2458.5,1398.3,1060.2,402.5,38,5867.3,,,
186,Western Pacific Geophysical Observatories,14-Jun-99,Yokohama,Japan,14-Aug-99,Yokohama,Japan,60.84,7.14,6.01,47.69,,31.53,8.15,,,,0,8.01,2,8,256,1453,10.1,7291.8,4865.1,2426.7,1741.2,71.8,2680.8,,,
187,Mantle Reservoirs and Migration Associated with Australian-Antarctic Rifting,16-Nov-99,Fremantle,Australia,10-Jan-00,Fremantle,Australia,54.67,4.76,14.63,35.28,,33.31,0,,,,0,1.97,13,23,112,3450.5,10.8,4406.5,3789.8,616.7,137.3,22.3,5736.4,,,
188,"Prydz Bay-Cooperation Sea, Antarctica:  Glacial History and Paleoceanography",10-Jan-00,Fremantle,Australia,11-Mar-00,Hobart,Australia,61.36,5.81,24.67,30.88,,19.18,2.98,,,,7.43,1.29,3,7,201,5916,10.25,2819.8,967.7,1852.1,971.4,52.4,3537.6,,,
189,The Tasmanian Gateway:  Cenozoic climatic and Oceanographic Development,11-Mar-00,Hobart,Australia,6-May-00,Sydney,Australia,60.72,5.68,10.08,44.96,,38.08,5.78,,,,0.18,0.92,5,16,551,2928.1,11,6258,1141.2,5116.8,4538.4,88.7,3567.9,,,
190,Deformation and Fluid Flow Processes in the Nankai Grough Accretionary Prism,6-May-00,Sydney,Australia,16-Jul-00,Yokohama,Japan,54.71,0.21,6.79,47.71,,40.9,1.17,,,,2.34,3.3,6,8,413,1857,11.35,4746.74,850.84,3895.9,2624.9,67.4,4844.3,,,
191,Northwest Pacific Seismic Observatory and Hammer Drill Tests,16-Jul-00,Yokohama,Japan,8-Sep-00,Apra Harbor,Guam,53.91,5.58,17.59,30.74,,21.89,2.78,,,,0.46,5.61,4,18,56,4578,11.4,1902.8,1393.8,509,363.2,71.4,5566,,,
192,Basement Drilling fo the Ontong Java Plateau,8-Sep-00,Apra Harbor,Guam,7-Nov-00,Apra Harbor,Guam,59.09,4.19,13.15,41.75,,38.17,0.74,,,,0,2.83,5,6,203,3479,11.2,4147,2383.2,1763.8,897.6,50.9,3898.9,,,
193,Manus Basin,7-Nov-00,Apra Harbor,Guam,3-Jan-01,Townsville,Australia,57.21,6.71,8.86,41.64,,29.19,3.78,,,,0,8.68,4,13,107,2351.1,11.4,1299.6,563.5,736.1,79.3,10.8,1703.1,,,
194,Marion Plateau,3-Jan-01,Townsville,Australia,2-Mar-01,Apra Harbor,Guam,57.76,4.38,10.64,42.74,,35.62,3.42,,,,0.75,2.96,8,16,597,2824,11.7,6008.2,1043.1,4965.1,2054.9,41.4,419.9,,,
195,Mariana / West Pacific ION,2-Mar-01,Apra Harbor,Guam,2-May-01,Keelung,Taiwan,60.79,5.19,7.84,47.76,,35.02,3.49,,,,0,9.25,3,15,196,2095.1,11.5,2589.8,922.9,1666.9,1306.2,78.4,5710.2,,,
196,Nankai II,2-May-01,Keelung,Taiwan,1-Jul-01,Yokohama,Japan,58.89,5.56,6.63,46.7,,19.54,3.77,,,,1.25,22.13,2,4,3,1606,10.2,2115.8,2096.3,19.5,5.2,26.6,4791.1,,,
197,Hotspots,1-Jul-01,Yokohama,Japan,27-Aug-01,Yokohama,Japan,57.19,4.31,15.57,37.31,,32.17,2.56,,,,0,2.58,4,5,188,4209.8,11.3,3410.6,1929.6,1481,752.8,50.8,2593.5,,,
198,Shatsky Rise,27-Aug-01,Yokohama,Japan,23-Oct-01,Honolulu,USA,58.12,3.85,16.95,37.32,,32.74,1.43,,,,1.66,1.5,8,16,443,4298,10.2,4461.7,514.9,3946.8,2914.4,73.8,3882.8,,,
199,Paleogene Pacific,23-Oct-01,Honolulu,USA,16-Dec-01,Honolulu,USA,53.48,4.52,14.4,34.56,,30.6,2.54,,,,0,1.43,8,21,283,3675,10.7,2881.9,416.8,2465.1,2196.9,89.1,5395.6,,,
200,H2O Observatory,16-Dec-01,Honolulu,USA,27-Jan-02,San Diego,USA,41.97,4.26,9.31,28.4,,18.5,1.13,,,,6.11,2.66,2,7,39,2261,10.6,355.8,66.9,288.9,100.2,34.7,4970.4,,,
